PAYER,Total_Claim_Cost,Total_Payer_Coverage,Number_of_Encounters,Payer_Coverage_Percentage
047f6ec3-6215-35eb-9608-f9dda363a44c,2424532.96,968.35,809,0.04
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,2982715.05,0.0,704,0.0
4d71f845-a6a9-3c39-b242-14d25ef86a8d,2589956.1,1780.1599999999999,936,0.07
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,2563507.98,3937.3199999999997,900,0.15
6e2f1a2d-27bd-3701-8d08-dae202c58632,3002166.01,2074496.34,925,69.1
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,8954131.02,8417973.72,1443,94.01
7caa7254-5050-3b5e-9eae-bd5ea30e809c,24647228.89,19215691.37,11371,77.96
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,49259290.16,0.0,8807,0.0
b3221cfc-24fb-339e-823d-bc4136cbc4ed,1546925.99,1380705.87,912,89.25
d47b3510-2895-3b70-9897-342d681c769d,3543921.36,1953.86,1084,0.06
