DESCRIPTION,Number_of_Procedures,Total_Cost
Admission to burn unit,1,431
Admission to long stay hospital,1,431
Admission to orthopedic department,42,18102
Admission to trauma surgery department,3,1293
Admit to ICU (procedure),5,1031302
Allergy screening test,1,431
Alpha-fetoprotein test,116,242197
Ankle X-ray,29,12499
Antenatal RhD antibody screening,14,25960
Appendectomy,2,34182
Assessment of anxiety (procedure),2288,986128
Assessment of health and social care needs (procedure),4596,1980876
Assessment of substance use (procedure),2906,1252486
Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),1422,612882
Assessment using Morse Fall Scale (procedure),2422,1043882
Assessment using New York Heart Association Classification (procedure),20,8620
Augmentation of labor,11,42468
Auscultation of the fetal heart,1065,5657822
Bilateral tubal ligation,12,99964
Biopsy of breast (procedure),7,27340
Biopsy of colon,2,21972
Biopsy of prostate,22,62145
Blood typing  RH typing,118,239539
Bone density scan (procedure),198,1901367
Bone immobilization,118,50858
Brief general examination (procedure),53,7161
Cardiovascular stress testing (procedure),4,1724
Catheter ablation of tissue of heart,365,3405999
Cesarean section,8,63252
Chemotherapy (procedure),40,17240
Chest X-ray,12,99576
Childbirth,115,49565
Chlamydia antigen test,118,241903
Clavicle X-ray,28,12068
Cognitive and behavioral therapy (regime/therapy),136,1412779
Colonoscopy,424,5021003
Combined chemotherapy and radiation therapy (procedure),444,5237596
Computed tomography of chest and abdomen,5,50306
Controlled ventilation procedure and therapy  initiation and management (procedure),46,19826
Coronary artery bypass grafting,9,423773
Counseling for termination of pregnancy,32,13792
Cytopathology procedure  preparation of smear  genital source,118,233399
Cytopathology procedure  preparation of smear  genital source (procedure),140,283128
Depression screening,190,81890
Depression screening (procedure),3614,1557634
Depression screening using Patient Health Questionnaire Nine Item score (procedure),206,6234
Depression screening using Patient Health Questionnaire Two-Item score (procedure),3614,1557634
Diagnostic fiberoptic bronchoscopy (procedure),3,22659
Digital examination of rectum,107,106386
Echocardiography (procedure),179,171156
Electrical cardioversion,1383,35824002
Electrocardiographic procedure,53,72576
Epidural anesthesia,26,50996
Episiotomy,36,199264
Evaluation of uterine fundal height,1065,5631281
Excision of breast tissue (procedure),2,7243
Excision of sentinel lymph node (procedure),4,45108
Extraction of wisdom tooth,4,44830
Face mask (physical object),55,129
Fetal anatomy study,116,49996
Fine needle aspiration biopsy of lung (procedure),1,23141
Gonorrhea infection test,118,236668
Hearing examination (procedure),144,62064
Heart failure education (procedure),28,12068
Hemodialysis (procedure),27,791088
Hemoglobin / Hematocrit / Platelet count,237,480661
Hepatitis B Surface Antigen Measurement,118,236803
Hepatitis C antibody test,118,238753
High resolution computed tomography of chest without contrast (procedure),144,62064
Hospice care (regime/therapy),4098,1766238
Human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridization (procedure),7,12373
Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),7,1481
Human immunodeficiency virus antigen test,118,234293
Induced termination of pregnancy,32,308512
Information gathering (procedure),16,1035
Injection of tetanus antitoxin,21,53529
